biosample	BioProject	Organism	run	Assay Type	AvgSpotLen	pre_filtering_bases	Instrument	LibraryLayout	ReleaseDate	assembly_filename	post_filt_total_reads	post_filt_total_bases	pre_spades_assembly	pre_skesa_assembly	post_spades	post_skesa	snp	del	ins	het	unaligned
SAMN02713683	PRJNA202894	Enterobacter hormaechei	SRR1576778	WGS	400	641331200	Illumina MiSeq	PAIRED	2014-09-19T00:00:00Z	GCF_000750225.1_ASM75022v1	2557968	511593600	PASS	PASS	PASS	PASS	0	0	2	5412	94091
SAMN16357572	PRJNA231221	Enterobacter roggenkampii	SRR15075448	WGS	302	4883992320	Illumina NovaSeq 6000	PAIRED	2021-07-08T00:00:00Z	GCF_019047025.1_ASM1904702v1	24276624	3665770224	PASS	PASS	PASS	PASS	0	0	0	281	91035
SAMN10163217	PRJNA231221	Enterobacter roggenkampii	SRR8180306	WGS	302	6453736678	Illumina HiSeq 4000	PAIRED	2018-11-09T00:00:00Z	GCF_003812145.1_ASM381214v1	29980904	4527116504	PASS	PASS	PASS	PASS	4	2	1	181	143419
SAMN06173336	PRJNA231221	Enterococcus faecium	SRR5419825	WGS	202	1195626890	Illumina HiSeq 2500	PAIRED	2017-04-05T00:00:00Z	GCF_002983785.1_ASM298378v1	11603710	1171974710	PASS	PASS	PASS	PASS	3	0	0	174	76229
SAMN03339922	PRJNA275194	Enterococcus faecium	SRR2120261	WGS	379	345854323	Illumina MiSeq	PAIRED	2016-06-12T00:00:00Z	GCF_001587115.1_ASM158711v1	1653790	310531307	PASS	PASS	PASS	PASS	6	0	2	3940	78986
SAMN03996308	PRJNA231221	Enterococcus sp.	SRR2822449	WGS	202	1024091318	Illumina HiSeq 2500	PAIRED	2015-10-27T00:00:00Z	GCF_001558875.2_ASM155887v2	10019748	1011994548	PASS	PASS	PASS	PASS	0	0	0	96	28932
SAMN05511179	PRJNA316786	Escherichia coli	SRR3999067	WGA	602	1109856230	Illumina MiSeq	PAIRED	2017-02-28T00:00:00Z	GCF_002012005.1_ASM201200v1	1346918	405421718	PASS	PASS	PASS	PASS	0	0	2	1195	55380
SAMN02147037	PRJNA230969	Escherichia coli	SRR2533563	WGS	455	737272648	Illumina MiSeq	PAIRED	2015-10-01T00:00:00Z	GCF_000464955.2_ASM46495v2	2154536	472292649	PASS	PASS	PASS	PASS	2	0	0	12467	64825
SAMN05511182	PRJNA316786	Escherichia coli	SRR3999064	WGA	602	1026615282	Illumina MiSeq	PAIRED	2017-02-28T00:00:00Z	GCF_002012105.1_ASM201210v1	1367842	411719842	PASS	PASS	PASS	PASS	1	1	1	1652	71701
SAMN04625459	PRJNA218110	Escherichia coli	SRR3360246	WGS	502	977026034	Illumina HiSeq 2500	PAIRED	2016-04-12T00:00:00Z	GCF_002741555.1_ASM274155v1	3441464	863807464	PASS	PASS	PASS	PASS	1	9	63	223	78309
SAMD00056131	PRJDB5007	Escherichia coli	DRR065947	WGS	600	698712600	Illumina MiSeq	PAIRED	2017-04-06T00:00:00Z	GCF_002357895.1_ASM235789v1	1035176	310552202	PASS	PASS	PASS	PASS	0	0	11	10406	90759
SAMN04159541	PRJNA297860	Escherichia coli	SRR2970646	WGS	200	319075000	Illumina HiSeq 2000	PAIRED	2015-12-08T00:00:00Z	GCF_001469815.1_ASM146981v1	3140104	314010400	PASS	PASS	PASS	PASS	0	0	42	594	101599
SAMN02949643	PRJNA46529	Escherichia coli	SRR3492218	WGS	202	808000000	Illumina HiScanSQ	PAIRED	2016-05-15T00:00:00Z	GCF_000829985.1_ASM82998v1	7082234	715305634	PASS	PASS	PASS	PASS	4	2	0	584	105620
SAMN04578538	PRJNA218110	Escherichia coli	SRR3290448	WGS	502	706762788	Illumina HiSeq 2500	PAIRED	2016-03-24T00:00:00Z	GCF_002741175.1_ASM274117v1	2487358	624326858	PASS	PASS	PASS	PASS	0	85	5	552	105919
SAMN04014860	PRJNA292901	Escherichia coli	SRR3112270	WGS	202	542969536	Illumina HiSeq 2500	PAIRED	2016-01-21T00:00:00Z	GCF_002796445.1_ASM279644v1	5220206	527240806	PASS	PASS	PASS	PASS	0	0	0	131	106979
SAMN04621488	PRJNA218110	Escherichia coli	SRR3341739	WGS	502	687179266	Illumina HiSeq 2500	PAIRED	2016-04-06T00:00:00Z	GCF_002741335.1_ASM274133v1	2150836	539859836	PASS	PASS	PASS	PASS	0	16	4	3325	110869
SAMN04014855	PRJNA292901	Escherichia coli	SRR3112265	WGS	202	633191624	Illumina HiSeq 2500	PAIRED	2016-01-21T00:00:00Z	GCF_002787315.1_ASM278731v1	6099886	616088286	PASS	PASS	PASS	PASS	0	0	0	202	118975
SAMN05414625	PRJNA312475	Escherichia coli	SRR3931165	WGS	379	473974259	Illumina MiSeq	PAIRED	2016-07-24T00:00:00Z	GCF_002105735.1_ASM210573v1	2273360	424308659	PASS	PASS	PASS	PASS	0	2	1	11731	139949
SAMN02991226	PRJNA218110	Escherichia coli	SRR2014925	WGS	485	254974084	Illumina MiSeq	PAIRED	2015-05-14T00:00:00Z	GCF_001420955.1_ASM142095v1	852926	205943944	PASS	PASS	PASS	PASS	3	19	1	50171	145129
SAMN04014852	PRJNA292901	Escherichia coli	SRR3112262	WGS	202	536861056	Illumina HiSeq 2500	PAIRED	2016-01-21T00:00:00Z	GCF_002788295.1_ASM278829v1	5161538	521315138	PASS	PASS	PASS	PASS	2	0	1	237	147307
SAMN04014847	PRJNA292901	Escherichia coli	SRR3112258	WGS	202	780022798	Illumina HiSeq 2500	PAIRED	2016-01-21T00:00:00Z	GCF_002787215.1_ASM278721v1	7527464	760273864	PASS	PASS	PASS	PASS	1	0	4	209	153430
SAMN04014856	PRJNA292901	Escherichia coli	SRR3112266	WGS	202	485632240	Illumina HiSeq 2500	PAIRED	2016-01-21T00:00:00Z	GCF_002788115.1_ASM278811v1	4678730	472551730	PASS	PASS	PASS	PASS	0	0	0	214	155907
SAMN04014858	PRJNA292901	Escherichia coli	SRR3112268	WGS	202	471484766	Illumina HiSeq 2500	PAIRED	2016-01-21T00:00:00Z	GCF_002796585.1_ASM279658v1	4529616	457491216	PASS	PASS	PASS	PASS	0	0	2	214	177662
SAMN05368232	PRJNA218110	Escherichia coli	SRR3793744	WGS	502	646289860	Illumina HiSeq 2500	PAIRED	2016-07-08T00:00:00Z	GCF_002741155.1_ASM274115v1	2210386	554806886	PASS	PASS	PASS	PASS	0	2	28	540	188537
SAMN03733745	PRJNA246471	Klebsiella aerogenes	SRR2965748	WGS	302	357561658	Illumina HiSeq 2000	PAIRED	2015-12-05T00:00:00Z	GCF_001021995.1_ASM102199v1	2255974	340652074	PASS	PASS	PASS	PASS	0	0	0	4951	44301
SAMN04014850	PRJNA292901	Klebsiella aerogenes	SRR3112260	WGS	202	582927358	Illumina HiSeq 2500	PAIRED	2016-01-21T00:00:00Z	GCF_002796525.1_ASM279652v1	5601080	565709080	PASS	PASS	PASS	PASS	0	0	0	208	51506
SAMN03996283	PRJNA231221	Klebsiella aerogenes	SRR2820618	WGS	202	790183196	Illumina HiSeq 2000	PAIRED	2015-10-26T00:00:00Z	GCF_001593585.2_ASM159358v2	6256494	631905894	PASS	PASS	PASS	PASS	0	0	0	441	103271
SAMN03733631	PRJNA353060	Klebsiella oxytoca	SRR5713997	WGS	470	1047814635	Illumina MiSeq	SINGLE	2017-06-20T00:00:00Z	GCF_001870185.1_ASM187018v1	3155396	717987718	PASS	PASS	PASS	PASS	0	0	0	1081	105588
SAMN03733848	PRJNA246471	Klebsiella oxytoca	SRR2965667	WGS	302	700047778	Illumina HiSeq 2000	PAIRED	2015-12-05T00:00:00Z	GCF_001970835.1_ASM197083v1	4010108	605526008	PASS	PASS	PASS	PASS	0	0	0	6244	141753
SAMN03733663	PRJNA246471	Klebsiella oxytoca	SRR2965639	WGS	302	510855952	Illumina HiSeq 2000	PAIRED	2015-12-05T00:00:00Z	GCF_001022295.1_ASM102229v1	2951102	445616402	PASS	PASS	PASS	PASS	0	0	0	6536	160172
SAMN02786843	PRJNA202895	Klebsiella oxytoca	SRR1501122	WGS	400	612909600	Illumina MiSeq	PAIRED	2014-07-01T00:00:00Z	GCF_000714655.1_ASM71465v1	2422122	484424400	PASS	PASS	PASS	PASS	0	0	2	9815	184894
SAMN11056346	PRJNA231221	Klebsiella pneumoniae	SRR8984908	WGS	302	3337684068	Illumina HiSeq 4000	PAIRED	2019-04-29T00:00:00Z	GCF_008693425.1_ASM869342v1	19588482	2957860782	PASS	PASS	PASS	PASS	0	0	8	77	49622
SAMN04448241	PRJNA296771	Klebsiella pneumoniae	SRR3222213	WGS	473	890217774	Illumina MiSeq	PAIRED	2016-03-29T00:00:00Z	GCF_001709295.1_ASM170929v1	3235278	762185681	PASS	PASS	PASS	PASS	0	1	49	8160	50749
SAMN16357459	PRJNA231221	Klebsiella pneumoniae	SRR13674229	WGS	302	2563804538	Illumina NovaSeq 6000	PAIRED	2021-02-09T00:00:00Z	GCF_016903755.1_ASM1690375v1	15558554	2349341654	PASS	PASS	PASS	PASS	0	0	0	155	50897
SAMN16357454	PRJNA231221	Klebsiella pneumoniae	SRR13674006	WGS	302	3079369576	Illumina HiSeq 4000	PAIRED	2021-02-09T00:00:00Z	GCF_016903495.1_ASM1690349v1	17208814	2598530914	PASS	PASS	PASS	PASS	0	0	0	282	52091
SAMN16357448	PRJNA231221	Klebsiella pneumoniae	SRR13673973	WGS	302	3059170004	Illumina HiSeq 4000	PAIRED	2021-02-09T00:00:00Z	GCF_016904295.1_ASM1690429v1	17719552	2675652352	PASS	PASS	PASS	PASS	0	0	0	234	52242
SAMN16357471	PRJNA231221	Klebsiella pneumoniae	SRR13668426	WGS	302	2452450192	Illumina HiSeq 4000	PAIRED	2021-02-09T00:00:00Z	GCF_016903875.1_ASM1690387v1	12152956	1835096356	PASS	PASS	PASS	PASS	0	0	0	270	53637
SAMEA3357328	PRJEB6891	Klebsiella pneumoniae	ERR1023631	WGS	250	751400750	Illumina HiSeq 2000	PAIRED	2015-09-23T00:00:00Z	GCF_002752905.1_ASM275290v1	5919758	739969750	PASS	PASS	PASS	PASS	0	0	0	157	53786
SAMN16357465	PRJNA231221	Klebsiella pneumoniae	SRR13674404	WGS	302	2301980806	Illumina NovaSeq 6000	PAIRED	2021-02-10T00:00:00Z	GCF_016903295.1_ASM1690329v1	13835566	2089170466	PASS	PASS	PASS	PASS	0	1	0	11651	54729
SAMN16357450	PRJNA231221	Klebsiella pneumoniae	SRR13673976	WGS	302	2305721076	Illumina HiSeq 4000	PAIRED	2021-02-09T00:00:00Z	GCF_016903795.1_ASM1690379v1	13253588	2001291788	PASS	PASS	PASS	PASS	0	0	0	218	54837
SAMN16357472	PRJNA231221	Klebsiella pneumoniae	SRR13668438	WGS	302	1980403354	Illumina HiSeq 4000	PAIRED	2021-02-09T00:00:00Z	GCF_016903515.1_ASM1690351v1	9408904	1420744504	PASS	PASS	PASS	PASS	0	0	0	42962	54869
SAMN16357462	PRJNA231221	Klebsiella pneumoniae	SRR13674235	WGS	302	2392392358	Illumina NovaSeq 6000	PAIRED	2021-02-09T00:00:00Z	GCF_016904635.1_ASM1690463v1	14521200	2192701200	PASS	PASS	PASS	PASS	0	0	0	141	56829
SAMN16357452	PRJNA231221	Klebsiella pneumoniae	SRR13674001	WGS	302	3272725076	Illumina HiSeq 4000	PAIRED	2021-02-09T00:00:00Z	GCF_016904595.1_ASM1690459v1	18352672	2771253472	PASS	PASS	PASS	PASS	1	0	0	243	58785
SAMN16357460	PRJNA231221	Klebsiella pneumoniae	SRR13674231	WGS	302	2846770686	Illumina NovaSeq 6000	PAIRED	2021-02-09T00:00:00Z	GCF_016903455.1_ASM1690345v1	17282634	2609677734	PASS	PASS	PASS	PASS	0	0	0	159	59186
SAMN16357461	PRJNA231221	Klebsiella pneumoniae	SRR13674233	WGS	302	3038276436	Illumina NovaSeq 6000	PAIRED	2021-02-09T00:00:00Z	GCF_016904095.1_ASM1690409v1	18336790	2768855290	PASS	PASS	PASS	PASS	0	0	0	133	63051
SAMN16357458	PRJNA231221	Klebsiella pneumoniae	SRR13674215	WGS	302	1941923722	Illumina NovaSeq 6000	PAIRED	2021-02-09T00:00:00Z	GCF_016904315.1_ASM1690431v1	11681278	1763872978	PASS	PASS	PASS	PASS	0	0	0	311	64272
SAMN16357463	PRJNA231221	Klebsiella pneumoniae	SRR13674237	WGS	302	2524505278	Illumina NovaSeq 6000	PAIRED	2021-02-09T00:00:00Z	GCF_016903895.1_ASM1690389v1	15287366	2308392266	PASS	PASS	PASS	PASS	0	0	0	97	65453
SAMN02786856	PRJNA198784	Klebsiella pneumoniae	SRR1510963	WGS	400	676933200	Illumina MiSeq	PAIRED	2014-07-11T00:00:00Z	GCF_000717515.1_ASM71751v1	2597036	519407200	PASS	PASS	PASS	PASS	1	0	0	8222	68492
SAMN11056344	PRJNA231221	Klebsiella pneumoniae	SRR8984904	WGS	302	3737317044	Illumina HiSeq 4000	PAIRED	2019-04-29T00:00:00Z	GCF_008693445.1_ASM869344v1	21869500	3302294500	PASS	PASS	PASS	PASS	0	0	0	160	70659
SAMN03024573	PRJNA246471	Klebsiella pneumoniae	SRR1582858	WGS	302	528612042	Illumina HiSeq 2000	PAIRED	2015-01-27T00:00:00Z	GCF_001870165.1_ASM187016v1	3011694	454765794	PASS	PASS	PASS	PASS	0	0	0	8645	71319
SAMN16357453	PRJNA231221	Klebsiella pneumoniae	SRR13674003	WGS	302	2737907236	Illumina HiSeq 4000	PAIRED	2021-02-09T00:00:00Z	GCF_016903255.1_ASM1690325v1	15402546	2325784446	PASS	PASS	PASS	PASS	0	0	0	288	74326
SAMN16357451	PRJNA231221	Klebsiella pneumoniae	SRR13673978	WGS	302	2694894282	Illumina HiSeq 4000	PAIRED	2021-02-09T00:00:00Z	GCF_016903955.1_ASM1690395v1	15488176	2338714576	PASS	PASS	PASS	PASS	16	0	0	278	75739
SAMEA3357043	PRJEB6891	Klebsiella pneumoniae	ERR1023792	WGS	250	768613000	Illumina HiSeq 2000	PAIRED	2015-09-23T00:00:00Z	GCF_002753355.1_ASM275335v1	6060068	757508500	PASS	PASS	PASS	PASS	0	0	0	91	77334
SAMEA3357010	PRJEB6891	Klebsiella pneumoniae	ERR1023775	WGS	250	667734000	Illumina HiSeq 2000	PAIRED	2015-09-23T00:00:00Z	GCF_002752995.1_ASM275299v1	5262320	657789752	PASS	PASS	PASS	PASS	0	0	0	100	77833
SAMN16357464	PRJNA231221	Klebsiella pneumoniae	SRR13674429	WGS	302	2316717500	Illumina NovaSeq 6000	PAIRED	2021-02-10T00:00:00Z	GCF_016904035.1_ASM1690403v1	14070424	2124634024	PASS	PASS	PASS	PASS	0	0	0	159	82807
SAMN03733793	PRJNA246471	Klebsiella pneumoniae	SRR2965692	WGS	302	705186610	Illumina HiSeq 2000	PAIRED	2015-12-05T00:00:00Z	GCF_001902255.1_ASM190225v1	3972918	599910618	PASS	PASS	PASS	PASS	0	0	0	5856	86176
SAMN03024583	PRJNA353060	Klebsiella pneumoniae	SRR5714002	WGS	480	1137177837	Illumina MiSeq	SINGLE	2017-06-20T00:00:00Z	GCF_001022235.1_ASM102223v1	3614954	848036960	PASS	PASS	PASS	PASS	2	0	0	666	86466
SAMN11056490	PRJNA231221	Klebsiella pneumoniae	SRR9641577	WGS	302	4305266700	Illumina HiSeq 4000	PAIRED	2019-07-03T00:00:00Z	GCF_006364295.1_ASM636429v1	20079766	3032044666	PASS	PASS	PASS	PASS	0	0	1	173	88081
SAMN16357468	PRJNA231221	Klebsiella pneumoniae	SRR13668390	WGS	302	2894006506	Illumina HiSeq 4000	PAIRED	2021-02-09T00:00:00Z	GCF_016903155.1_ASM1690315v1	14077596	2125716996	PASS	PASS	PASS	PASS	5	0	0	7846	94372
SAMN11056345	PRJNA231221	Klebsiella pneumoniae	SRR8984905	WGS	302	2711760680	Illumina HiSeq 4000	PAIRED	2019-04-29T00:00:00Z	GCF_008693405.1_ASM869340v1	15885908	2398772108	PASS	PASS	PASS	PASS	0	0	2	50	94852
SAMN03024585	PRJNA246471	Klebsiella pneumoniae	SRR1582870	WGS	302	303164210	Illumina HiSeq 2000	PAIRED	2015-01-27T00:00:00Z	GCF_001908715.1_ASM190871v1	1660882	250792882	PASS	PASS	PASS	PASS	0	7	32	24993	97615
SAMEA3357223	PRJEB6891	Klebsiella pneumoniae	ERR1008714	WGS	250	785126000	Illumina HiSeq 2000	PAIRED	2015-09-09T00:00:00Z	GCF_002752775.1_ASM275277v1	6149284	768660500	PASS	PASS	PASS	PASS	23	2	0	116	98099
SAMN16357467	PRJNA231221	Klebsiella pneumoniae	SRR13668388	WGS	302	2416651414	Illumina HiSeq 4000	PAIRED	2021-02-09T00:00:00Z	GCF_016903735.1_ASM1690373v1	11968096	1807182496	PASS	PASS	PASS	PASS	0	0	0	311	98540
SAMN03024576	PRJNA246471	Klebsiella pneumoniae	SRR1582861	WGS	302	332749640	Illumina HiSeq 2000	PAIRED	2015-01-27T00:00:00Z	GCF_001908515.1_ASM190851v1	1833772	276899272	PASS	PASS	PASS	PASS	0	0	0	8796	99805
SAMN03024610	PRJNA246471	Klebsiella pneumoniae	SRR1582895	WGS	302	561059828	Illumina HiSeq 2000	PAIRED	2015-01-27T00:00:00Z	GCF_001022035.1_ASM102203v1	3201958	483495358	PASS	PASS	PASS	PASS	0	0	0	8061	101825
SAMN16357449	PRJNA231221	Klebsiella pneumoniae	SRR13673975	WGS	302	2296090296	Illumina HiSeq 4000	PAIRED	2021-02-09T00:00:00Z	GCF_016903775.1_ASM1690377v1	12586630	1900581130	PASS	PASS	PASS	PASS	2	1	0	309	101880
SAMN04158282	PRJNA295003	Klebsiella pneumoniae	SRR2724081	WGS	543	2425380237	Illumina MiSeq	PAIRED	2015-10-24T00:00:00Z	GCF_002113865.1_ASM211386v1	6082184	1595180924	PASS	PASS	PASS	PASS	0	0	0	63	103306
SAMN16357245	PRJNA231221	Klebsiella pneumoniae	SRR12931584	WGS	302	3245126806	Illumina HiSeq 4000	PAIRED	2020-10-29T00:00:00Z	GCF_016727425.1_ASM1672742v1	19439616	2935382016	PASS	PASS	PASS	PASS	0	0	0	237	106667
SAMN16357466	PRJNA231221	Klebsiella pneumoniae	SRR13668104	WGS	302	2261788532	Illumina HiSeq 4000	PAIRED	2021-02-09T00:00:00Z	GCF_016903235.1_ASM1690323v1	10139332	1531039132	PASS	PASS	PASS	PASS	9	0	1	35628	109731
SAMN16357470	PRJNA231221	Klebsiella pneumoniae	SRR13668412	WGS	302	2020057162	Illumina HiSeq 4000	PAIRED	2021-02-09T00:00:00Z	GCF_016904275.1_ASM1690427v1	10099024	1524952624	PASS	PASS	PASS	PASS	0	0	0	338	116828
SAMN04448219	PRJNA296771	Klebsiella pneumoniae	SRR3219268	WGS	500	650075500	Illumina MiSeq	PAIRED	2016-03-29T00:00:00Z	GCF_001704235.1_ASM170423v1	1534892	383723000	PASS	PASS	PASS	PASS	0	2	7	18349	120798
SAMN03996301	PRJNA231221	Klebsiella pneumoniae	SRR2821776	WGS	202	1028741762	Illumina HiSeq 2500	PAIRED	2015-10-27T00:00:00Z	GCF_002951635.1_ASM295163v1	9964878	1006452678	PASS	PASS	PASS	PASS	0	0	0	315	127866
SAMN01057614	PRJNA73843	Klebsiella pneumoniae	SRR1427234	WGS	400	612946000	Illumina MiSeq	PAIRED	2014-06-20T00:00:00Z	GCF_000281435.2_ASM28143v2	1116340	223268000	PASS	PASS	PASS	PASS	0	3	0	35430	129957
SAMN07312483	PRJNA231221	Klebsiella pneumoniae	SRR5884793	WGS	302	2776689774	Illumina HiSeq 4000	PAIRED	2017-07-31T00:00:00Z	GCF_002591075.1_ASM259107v1	13675964	2065070564	PASS	PASS	PASS	PASS	0	0	0	39	133657
SAMN07312490	PRJNA231221	Klebsiella pneumoniae	SRR5884863	WGS	302	1971131652	Illumina HiSeq 4000	PAIRED	2017-07-31T00:00:00Z	GCF_002587885.1_ASM258788v1	10349734	1562809834	PASS	PASS	PASS	PASS	1	0	0	231	137781
SAMEA3357272	PRJEB6891	Klebsiella pneumoniae	ERR1008737	WGS	250	658811500	Illumina HiSeq 2000	PAIRED	2015-09-09T00:00:00Z	GCF_002752975.1_ASM275297v1	5194276	649284500	PASS	PASS	PASS	PASS	1	0	0	117	143514
SAMEA3357080	PRJEB6891	Klebsiella pneumoniae	ERR1023801	WGS	250	722686000	Illumina HiSeq 2000	PAIRED	2015-09-23T00:00:00Z	GCF_002753055.1_ASM275305v1	5695528	711941000	PASS	PASS	PASS	PASS	0	0	0	81	149122
